fid,iid,rep,BFGS,DE,MLSL,Non-elitist,PSO,Same
7,3,5,1.4749751691,1.4749751691,1.4749751691,1.4749751691,1.4749751691,1.4749751691
7,3,6,0.379931707,0.379931707,0.379931707,0.379931707,0.379931707,0.379931707
7,3,7,2.1331604481,2.1331604481,2.1331604481,2.1331604481,2.1331604481,2.1331604481
7,3,8,0.3369397013,0.3369397013,0.3369397013,0.3369397013,0.3369397013,0.3369397013
7,3,9,0.379931707,0.379931707,0.379931707,0.379931707,0.379931707,0.379931707
7,3,10,1.4012959437,1.4012959437,1.4012959437,1.4012959437,1.4012959437,1.4012959437
7,3,11,1.5369941009,1.5369941009,1.5369941009,1.5369941009,1.5369941009,1.5369941009
7,3,12,3.0126790381,3.0126790381,3.0126790381,3.0126790381,3.0126790381,3.0126790381
7,3,13,10.5910457757,10.5910457757,10.5910457757,10.5910457757,10.5910457757,10.5910457757
7,3,14,3.0126790381,3.0126790381,3.0126790381,3.0126790381,3.0126790381,3.0126790381
7,3,15,1.5391408657,1.5391408657,1.5391408657,1.5391408657,1.5391408657,1.5391408657
7,3,16,0.379931707,0.379931707,0.379931707,0.379931707,0.379931707,0.379931707
7,3,17,0.5343798439,0.5343798439,0.5343798439,0.5343798439,0.5343798439,0.5343798439
7,3,18,0.5343798439,0.5343798439,0.5343798439,0.5343798439,0.5343798439,0.5343798439
7,3,19,0.4218233696,0.4218233696,0.4218233696,0.4218233696,0.4218233696,0.4218233696
7,4,0,4.496332655,4.496332655,4.496332655,4.496332655,4.496332655,4.496332655
7,4,1,0.210646474,0.210646474,0.210646474,0.210646474,0.210646474,0.210646474
7,4,2,1.1966044464,1.1966044464,1.1966044464,1.1966044464,1.1966044464,1.1966044464
7,4,3,0.049955636,0.049955636,0.049955636,0.049955636,0.049955636,0.049955636
7,4,4,0.814461735,0.814461735,0.814461735,0.814461735,0.814461735,0.814461735
