fid,iid,rep,BFGS,DE,MLSL,Non-elitist,PSO,Same
3,1,11,23.8789517877,23.8789517878,23.8789517878,23.8789517877,23.8789517878,23.8789517877
3,1,12,4.9747902476,4.9747902932,4.9747902932,4.9747902477,4.9747902932,4.9747902477
3,1,13,3.9798362284,3.9798365989,3.9798365989,3.9798362294,3.9798365989,3.9798362289
3,1,14,4.9747902476,4.9747902486,4.9747902486,4.9747902477,4.9747902486,4.9747902476
3,1,15,1.000162029,2.4372286506,15.7437174845,15.7437174845,1.958906143,15.7437174845
3,1,16,19.899074983,21.9683265847,41.2716877165,41.2716877165,19.9150497439,41.2716877165
3,1,17,35.8182422902,35.8183094859,35.8183094859,35.8182429486,35.5560829061,35.8182423783
3,1,18,6.964708362,9.5704408479,26.2138967446,26.2138967446,8.641017976,26.2138967446
3,1,19,4.9747902476,4.9747902479,4.9747902479,4.9747902476,4.9747902479,4.9747902476
3,2,0,13.9294116858,13.9294116885,13.9294116885,13.9294116859,13.9294116885,13.9294116859
3,2,1,19.8991559528,19.8991576381,19.8991576381,19.8991559815,19.8991576381,19.899155956
3,2,2,18.9041817368,19.1699755253,29.8078759575,29.8078759575,19.5623344535,29.8078759575
3,2,3,1.9899181142,1.989918122,1.989918122,1.9899181142,1.989918122,1.9899181142
3,2,4,20.9377933849,6.8834275202,20.9377933849,20.9377933828,20.9377933849,20.9377933826
3,2,5,6.9647083618,6.9647083619,6.9647083619,6.9647083618,6.9647083619,6.9647083618
3,2,6,9.9495804953,9.9495804955,9.9495804955,9.9495804953,9.9495804955,9.9495804953
3,2,7,5.9697493047,5.9697494648,5.9697494648,5.9697493054,5.9697494648,5.9697493048
3,2,8,2.9848771713,2.984877179,2.984877179,2.9848771713,2.984877179,2.9848771713
3,2,9,2.9848771713,2.9848786377,2.9848786377,2.9848771717,2.9848786377,2.9848771722
3,2,10,9.9495804953,9.9495810942,9.9495810942,9.9495804955,9.9495810942,9.9495804955
3,2,11,9.9495804953,9.9495804971,9.9495804971,9.9495804953,9.9495804971,9.9495804953
3,2,12,24.9176303384,10.6861829107,24.9176303411,24.9176274737,24.9176303411,24.9176245763
3,2,13,3.9798362284,3.9798362502,3.9798362502,3.9798362284,3.9798362502,3.9798362284
3,2,14,29.892394624,20.8242464595,42.5562373344,42.5562373344,30.5517302784,42.5562373344
3,2,15,22.8839521543,22.8839521553,22.8839521553,22.8839521543,22.8839521553,22.8839521543
3,2,16,7.9596674189,7.9596674192,7.9596674192,7.9596674189,7.9596674192,7.9596674189
3,2,17,24.9176245731,15.6811432807,34.5619564064,34.5619564064,25.3659913411,34.5619564064
3,2,18,4.9747902476,4.9751959136,4.9751959136,4.9747924395,4.9751959136,4.9747903467
3,2,19,9.9495804953,9.9495827396,9.9495827396,9.9495804978,9.9495827396,9.9495804963
3,3,0,6.9647083618,6.9647084414,6.9647084414,6.964708362,6.9647084414,6.9647083619
3,3,1,9.9495804953,9.9495805455,9.9495805455,9.9495804958,9.9495805455,9.9495804953
3,3,2,2.9848771713,2.9848771733,2.9848771733,2.9848771713,2.9848771733,2.9848771713
3,3,3,9.9495804953,9.9495805317,9.9495805317,9.9495804953,9.9495805317,9.9495804954
3,3,4,14.9243505462,14.924350559,14.924350559,14.9243505463,14.924350559,14.9243505462
3,3,5,3.9798362284,3.9798362516,3.9798362516,3.9798362284,3.9798362516,3.9798362284
3,3,6,9.9495804953,9.9495806526,9.9495806526,9.9495804973,9.9495806526,9.9495804954
3,3,7,4.9747902477,4.9747906361,4.9747906361,4.974790248,4.9747906361,4.974790248
3,3,8,21.8889930972,21.8889934698,21.8889934698,21.8889930974,21.8889934698,21.8889930972
3,3,9,15.9193096033,17.0944800378,28.7853399619,28.7853399619,12.0090561653,28.7853399619
3,3,10,1.9899181142,1.9899181142,1.9899181142,1.9899181142,1.9899181142,1.9899181142
3,3,11,9.9495804953,9.949580498,9.949580498,9.9495804953,9.949580498,9.9495804953
3,3,12,8.9546214382,8.9546214614,8.9546214614,8.9546214383,8.9546214614,8.9546214382
3,3,13,8.9546214382,8.9546214387,8.9546214387,8.9546214382,6.7545967889,8.9546214382
3,3,14,4.9747902476,4.974790333,4.974790333,4.9747902481,4.974790333,4.9747902477
3,3,15,13.9294116858,13.9294122316,13.9294122316,13.9294116865,13.9294122316,13.9294116859
3,3,16,19.8990800208,20.6743164381,28.8336898123,28.8336898123,21.2917186848,28.8336898123
3,3,17,1.9899181142,1.9899181178,1.9899181178,1.9899181142,1.123420179,1.9899181142
3,3,18,5.969880748,6.1726420967,13.282983428,13.282983428,6.3381570181,13.282983428
3,3,19,16.9142838193,16.9142838194,16.9142838194,16.9142838193,16.9142838194,16.9142838193
3,4,0,9.9495804953,10.3005134603,19.5272264119,19.5272264119,7.2773888588,19.5272264119
3,4,1,11.9400477088,12.9773417747,15.9801972177,15.9801972177,12.1510770042,15.9801972177
3,4,2,8.9563649701,10.9491216968,22.6792096977,22.6792096977,9.330200595,22.6792096977
3,4,3,2.9848771713,2.9848773915,2.9848773915,2.9848771714,2.9848773915,2.9848771713
3,4,4,4.9747902476,4.9747902995,4.9747902995,4.9747902477,4.9747902995,4.9747902477
3,4,5,2.9848771713,2.9849648215,2.9849648215,2.9848773409,2.9849648215,2.9848772334
3,4,6,6.9647083618,6.9647703182,6.9647703182,6.9647085549,6.9647703182,6.9647083832
