fid,iid,rep,static_B8,static_B16,static_B24,static_B32,static_B40,static_B48,static_B56,static_B64,static_B72,static_B80,static_B88,static_B96,static_B100,static_B150,static_B200,static_B250,static_B300,static_B350,static_B400,static_B450,static_B500,static_B550,static_B600,static_B650,static_B700,static_B750,static_B800,static_B850,static_B900,static_B950,static_B1000
22,4,14,2.5905477301,0.0,0.0,0.0036048711,2.0291978764,0.6918569127,0.6918569115,2.125303591,0.6918569115,0.6918569115,2.125303591,0.6918569413,3.8917260654,2.5905477416,0.6918569115,0.6918569119,2.5905479274,2.5905479274,2.6317488997,2.7981855687,0.6918569162,0.6918574418,0.6936474934,6.1344772975,3.4284153161,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936
22,4,15,0.0,0.6918569114,0.6971567799,0.6971567799,0.6918569118,0.6918569118,0.6971567799,2.5905477313,7.2716291967,2.6035615593,7.2716292258,2.1786637087,7.2716291962,7.271629229,7.2716292052,0.6918569124,0.6918569122,0.5396450413,0.6901378627,0.6918569113,0.6918597438,5.41654e-05,0.511790517,0.5443228388,5.3533604256,7.2716291937,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936
22,4,16,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,4.8290108247,2.5905478159,7.2716291936,0.6918569114,7.2716291936,7.2716291936,7.2716291936,0.6918569113,0.6918569113,1.5504929219,7.2716291936,0.6918569223,2.622680031,0.565384825,0.7042535388,7.2716291938,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936
22,4,17,7.2716291936,1.9803373365,1.8747431182,2.5905477372,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,0.0035935139,7.2716291936,2.5909617634,7.2716291936,0.691856914,7.2716291954,0.6919325155,7.2716291941,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936
22,4,18,0.6918569113,0.0,0.6918569113,0.6918569112,0.6918569113,0.6918569113,0.0,7.2716291973,0.6918575592,7.2716291976,0.0119639058,7.271629211,7.2716291936,0.0005497328,2.5905976029,2.5906038145,0.0003874086,7.2716291936,0.6918569114,0.1843174847,0.2468842399,7.2716291948,0.6918615422,3.7626270974,7.2716291937,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936,7.2716291936
22,4,19,0.0021174263,0.6918582634,0.6918569139,0.6918569112,0.0,5.6e-09,5.6e-09,2.590547732,0.1355342614,0.0,0.0,0.6918569125,0.0,0.0,0.0,0.0,0.0,0.0,1.22e-08,1.23e-08,1.37e-08,4.42e-08,1.16e-08,0.0,2.7e-09,1e-10,6.814e-07,1.17e-08,3.7e-09,0.0,0.0
22,5,0,0.6918569112,1.05376e-05,14.5848415369,0.6918569171,1.23034e-05,0.9359804119,0.6918569171,0.6918569171,0.9359804119,14.584841529,14.5848415292,14.5848415306,14.584841529,14.5848415369,14.584841529,14.6043961048,14.584841529,2.6726354805,14.5848415369,14.584841529,14.584841529,14.584841529,14.584841529,14.584841529,14.584841529,14.584841529,14.5848533187,14.584841529,14.584841529,14.5848415541,14.5848415369
22,5,1,0.6918569304,0.6918569311,0.6918569206,0.0072858812,0.0,3.1e-09,3.36452e-05,1.5407e-06,3.3745e-05,0.0,0.0,0.0033845901,0.0,0.0062937431,0.0,0.0,6e-10,2.9e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,5,2,0.0,0.6918569227,0.691856957,0.6918569227,0.0,0.0,8e-10,6.9959e-06,1.2e-09,1.2e-09,3.3e-09,0.0,0.0,0.0,4e-10,6e-10,5e-10,4.61333e-05,0.0,0.0,2.92e-08,0.0,9e-10,3e-10,1.2e-09,0.0,1.2e-09,0.0,3.6e-09,1.2e-09,1.2e-09
22,5,3,0.6918569112,25.4769507932,25.4769507932,25.4769507932,25.4769507932,25.4769507932,0.6918569353,2.47304e-05,0.691856938,0.6918569299,2.47357e-05,0.6918569414,25.4769507932,0.0431528089,25.4769507932,25.4769507932,25.4769507932,25.4769507932,25.4769507932,0.6918821962,7.2716291945,0.0136828253,0.6943446254,0.8188771235,1.5986957182,25.4769507932,25.4769507932,25.4769507932,25.4769507932,25.4769507932,25.4769507932
